x,y,z,theta_0,theta_1
-1.04678,-0.184863,0.349279,4.31424,5.91482
-1.80697,2.31901,0.34147,2.25235,3.07074
-1.02193,-1.19532,0.904071,4.68997,5.45238
-1.28366,-2.54965,-0.519364,4.20443,2.74181
-1.10736,-0.42464,-0.580842,4.4461,0.604778
-2.1387,1.83139,0.578505,2.39613,3.23129
-0.74883,-0.738576,-0.317615,5.11392,0.330504
-1.05932,-0.69017,-0.677328,4.49714,0.785936
-1.27685,2.00298,-0.926883,2.32974,2.39963
-0.370252,1.06607,-0.490461,2.96994,0.256823
-2.20657,-0.652342,0.953632,3.63537,4.66336
-2.26961,-1.93453,-0.187823,3.83725,3.01356
-1.31469,-1.09876,0.958046,4.29073,5.3432
-1.36786,1.23936,-0.988043,2.77534,1.47134
-1.48236,-0.65005,-0.924421,4.11486,1.11242
2.87451,-0.257703,-0.463611,0.0858021,2.42111
-1.88374,0.915151,-0.995546,2.90115,1.80682
0.683451,-1.03316,0.648468,6.12608,5.62623
2.57741,1.44499,0.297146,0.7192,3.64917
1.02315,-1.02022,-0.831776,0.0582761,1.44746
2.79841,-1.07341,0.0746084,5.95358,3.73868
-0.219424,2.9381,0.32334,1.73948,3.29404
2.98079,0.227084,0.145013,0.0286198,2.90959
-1.09744,0.117611,-0.443493,4.09394,0.392189
0.916235,2.03647,-0.972454,1.42212,2.3538
2.85814,-0.514917,0.427212,6.18461,3.58366
1.26326,-0.946024,0.9067,6.19498,5.43381
1.23584,-0.311813,0.688296,0.55248,5.70214
-2.23006,-1.70458,-0.590672,3.84713,2.5608
-1.38743,-0.132561,-0.795272,4.01833,0.798374
0.582964,-1.0188,0.563377,6.1421,5.69404
-1.65958,-2.35659,-0.470655,4.08602,2.78699
0.0146372,1.61511,-0.92299,1.98399,1.78878
1.40203,-0.614195,-0.883019,0.248764,1.6333
-1.63896,0.652494,-0.97177,3.08025,1.25082
0.152532,-1.02303,-0.259797,6.14282,0.438327
-1.02076,-0.00601578,0.202796,4.2122,6.02493
1.21376,2.7272,-0.171981,1.16868,3.0084
-0.313071,1.05463,-0.436138,2.96671,0.231922
